"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","1990","Number","Housing Permits",20
"Andover","0901301080","1990","Percent","Housing Permits",0.3
"Andover","0901301080","1991","Number","Housing Permits",16
"Andover","0901301080","1991","Percent","Housing Permits",0.2
"Andover","0901301080","1992","Number","Housing Permits",18
"Andover","0901301080","1992","Percent","Housing Permits",0.2
"Andover","0901301080","1993","Number","Housing Permits",8
"Andover","0901301080","1993","Percent","Housing Permits",0.1
"Andover","0901301080","1994","Number","Housing Permits",10
"Andover","0901301080","1994","Percent","Housing Permits",0.1
"Andover","0901301080","1995","Number","Housing Permits",22
"Andover","0901301080","1995","Percent","Housing Permits",0.3
"Andover","0901301080","1996","Number","Housing Permits",36
"Andover","0901301080","1996","Percent","Housing Permits",0.5
"Andover","0901301080","1997","Number","Housing Permits",26
"Andover","0901301080","1997","Percent","Housing Permits",0.3
"Andover","0901301080","1998","Number","Housing Permits",24
"Andover","0901301080","1998","Percent","Housing Permits",0.2
"Andover","0901301080","1999","Number","Housing Permits",20
"Andover","0901301080","1999","Percent","Housing Permits",0.2
"Andover","0901301080","2000","Number","Housing Permits",14
"Andover","0901301080","2000","Percent","Housing Permits",0.1
"Andover","0901301080","2001","Number","Housing Permits",8
"Andover","0901301080","2001","Percent","Housing Permits",0.1
"Andover","0901301080","2002","Number","Housing Permits",16
"Andover","0901301080","2002","Percent","Housing Permits",0.2
"Andover","0901301080","2003","Number","Housing Permits",13
"Andover","0901301080","2003","Percent","Housing Permits",0.1
"Andover","0901301080","2004","Number","Housing Permits",23
"Andover","0901301080","2004","Percent","Housing Permits",0.2
"Andover","0901301080","2005","Number","Housing Permits",13
"Andover","0901301080","2005","Percent","Housing Permits",0.1
"Andover","0901301080","2006","Number","Housing Permits",8
"Andover","0901301080","2006","Percent","Housing Permits",0.1
"Andover","0901301080","2007","Number","Housing Permits",8
"Andover","0901301080","2007","Percent","Housing Permits",0.1
"Andover","0901301080","2008","Number","Housing Permits",4
"Andover","0901301080","2008","Percent","Housing Permits",0.1
"Andover","0901301080","2009","Number","Housing Permits",4
"Andover","0901301080","2009","Percent","Housing Permits",0.1
"Andover","0901301080","2010","Number","Housing Permits",3
"Andover","0901301080","2010","Percent","Housing Permits",0.1
"Andover","0901301080","2011","Number","Housing Permits",0
"Andover","0901301080","2011","Percent","Housing Permits",0
"Andover","0901301080","2012","Number","Housing Permits",7
"Andover","0901301080","2012","Percent","Housing Permits",0.1
"Andover","0901301080","2013","Number","Housing Permits",5
"Andover","0901301080","2013","Percent","Housing Permits",0.1
"Andover","0901301080","2014","Number","Housing Permits",2
"Andover","0901301080","2014","Percent","Housing Permits",0
"Andover","0901301080","2015","Number","Housing Permits",4
"Andover","0901301080","2015","Percent","Housing Permits",0.1
"Andover","0901301080","2016","Number","Housing Permits",3
"Andover","0901301080","2016","Percent","Housing Permits",0.1
"Ansonia","0900901220","1990","Number","Housing Permits",15
"Ansonia","0900901220","1990","Percent","Housing Permits",0.2
"Ansonia","0900901220","1991","Number","Housing Permits",19
"Ansonia","0900901220","1991","Percent","Housing Permits",0.2
"Ansonia","0900901220","1992","Number","Housing Permits",46
"Ansonia","0900901220","1992","Percent","Housing Permits",0.6
"Ansonia","0900901220","1993","Number","Housing Permits",49
"Ansonia","0900901220","1993","Percent","Housing Permits",0.5
"Ansonia","0900901220","1994","Number","Housing Permits",34
"Ansonia","0900901220","1994","Percent","Housing Permits",0.4
"Ansonia","0900901220","1995","Number","Housing Permits",27
"Ansonia","0900901220","1995","Percent","Housing Permits",0.3
"Ansonia","0900901220","1996","Number","Housing Permits",23
"Ansonia","0900901220","1996","Percent","Housing Permits",0.3
"Ansonia","0900901220","1997","Number","Housing Permits",16
"Ansonia","0900901220","1997","Percent","Housing Permits",0.2
"Ansonia","0900901220","1998","Number","Housing Permits",33
"Ansonia","0900901220","1998","Percent","Housing Permits",0.3
"Ansonia","0900901220","1999","Number","Housing Permits",40
"Ansonia","0900901220","1999","Percent","Housing Permits",0.4
"Ansonia","0900901220","2000","Number","Housing Permits",38
"Ansonia","0900901220","2000","Percent","Housing Permits",0.4
"Ansonia","0900901220","2001","Number","Housing Permits",22
"Ansonia","0900901220","2001","Percent","Housing Permits",0.2
"Ansonia","0900901220","2002","Number","Housing Permits",22
"Ansonia","0900901220","2002","Percent","Housing Permits",0.2
"Ansonia","0900901220","2003","Number","Housing Permits",21
"Ansonia","0900901220","2003","Percent","Housing Permits",0.2
"Ansonia","0900901220","2004","Number","Housing Permits",13
"Ansonia","0900901220","2004","Percent","Housing Permits",0.1
"Ansonia","0900901220","2005","Number","Housing Permits",13
"Ansonia","0900901220","2005","Percent","Housing Permits",0.1
"Ansonia","0900901220","2006","Number","Housing Permits",8
"Ansonia","0900901220","2006","Percent","Housing Permits",0.1
"Ansonia","0900901220","2007","Number","Housing Permits",13
"Ansonia","0900901220","2007","Percent","Housing Permits",0.2
"Ansonia","0900901220","2008","Number","Housing Permits",5
"Ansonia","0900901220","2008","Percent","Housing Permits",0.1
"Ansonia","0900901220","2009","Number","Housing Permits",2
"Ansonia","0900901220","2009","Percent","Housing Permits",0.1
"Ansonia","0900901220","2010","Number","Housing Permits",5
"Ansonia","0900901220","2010","Percent","Housing Permits",0.1
"Ansonia","0900901220","2011","Number","Housing Permits",2
"Ansonia","0900901220","2011","Percent","Housing Permits",0.1
"Ansonia","0900901220","2012","Number","Housing Permits",4
"Ansonia","0900901220","2012","Percent","Housing Permits",0.1
"Ansonia","0900901220","2013","Number","Housing Permits",3
"Ansonia","0900901220","2013","Percent","Housing Permits",0.1
"Ansonia","0900901220","2014","Number","Housing Permits",0
"Ansonia","0900901220","2014","Percent","Housing Permits",0
"Ansonia","0900901220","2015","Number","Housing Permits",0
"Ansonia","0900901220","2015","Percent","Housing Permits",0
"Ansonia","0900901220","2016","Number","Housing Permits",0
"Ansonia","0900901220","2016","Percent","Housing Permits",0
"Ashford","0901501430","1990","Number","Housing Permits",24
"Ashford","0901501430","1990","Percent","Housing Permits",0.3
"Ashford","0901501430","1991","Number","Housing Permits",19
"Ashford","0901501430","1991","Percent","Housing Permits",0.2
"Ashford","0901501430","1992","Number","Housing Permits",32
"Ashford","0901501430","1992","Percent","Housing Permits",0.4
"Ashford","0901501430","1993","Number","Housing Permits",52
"Ashford","0901501430","1993","Percent","Housing Permits",0.6
"Ashford","0901501430","1994","Number","Housing Permits",12
"Ashford","0901501430","1994","Percent","Housing Permits",0.1
"Ashford","0901501430","1995","Number","Housing Permits",18
"Ashford","0901501430","1995","Percent","Housing Permits",0.2
"Ashford","0901501430","1996","Number","Housing Permits",14
"Ashford","0901501430","1996","Percent","Housing Permits",0.2
"Ashford","0901501430","1997","Number","Housing Permits",16
"Ashford","0901501430","1997","Percent","Housing Permits",0.2
"Ashford","0901501430","1998","Number","Housing Permits",32
"Ashford","0901501430","1998","Percent","Housing Permits",0.3
"Ashford","0901501430","1999","Number","Housing Permits",17
"Ashford","0901501430","1999","Percent","Housing Permits",0.2
"Ashford","0901501430","2000","Number","Housing Permits",22
"Ashford","0901501430","2000","Percent","Housing Permits",0.2
"Ashford","0901501430","2001","Number","Housing Permits",21
"Ashford","0901501430","2001","Percent","Housing Permits",0.2
"Ashford","0901501430","2002","Number","Housing Permits",28
"Ashford","0901501430","2002","Percent","Housing Permits",0.3
"Ashford","0901501430","2003","Number","Housing Permits",25
"Ashford","0901501430","2003","Percent","Housing Permits",0.2
"Ashford","0901501430","2004","Number","Housing Permits",28
"Ashford","0901501430","2004","Percent","Housing Permits",0.2
"Ashford","0901501430","2005","Number","Housing Permits",17
"Ashford","0901501430","2005","Percent","Housing Permits",0.1
"Ashford","0901501430","2006","Number","Housing Permits",23
"Ashford","0901501430","2006","Percent","Housing Permits",0.2
"Ashford","0901501430","2007","Number","Housing Permits",11
"Ashford","0901501430","2007","Percent","Housing Permits",0.1
"Ashford","0901501430","2008","Number","Housing Permits",9
"Ashford","0901501430","2008","Percent","Housing Permits",0.2
"Ashford","0901501430","2009","Number","Housing Permits",9
"Ashford","0901501430","2009","Percent","Housing Permits",0.2
"Ashford","0901501430","2010","Number","Housing Permits",4
"Ashford","0901501430","2010","Percent","Housing Permits",0.1
"Ashford","0901501430","2011","Number","Housing Permits",4
"Ashford","0901501430","2011","Percent","Housing Permits",0.1
"Ashford","0901501430","2012","Number","Housing Permits",3
"Ashford","0901501430","2012","Percent","Housing Permits",0.1
"Ashford","0901501430","2013","Number","Housing Permits",3
"Ashford","0901501430","2013","Percent","Housing Permits",0.1
"Ashford","0901501430","2014","Number","Housing Permits",5
"Ashford","0901501430","2014","Percent","Housing Permits",0.1
"Ashford","0901501430","2015","Number","Housing Permits",2
"Ashford","0901501430","2015","Percent","Housing Permits",0
"Ashford","0901501430","2016","Number","Housing Permits",7
"Ashford","0901501430","2016","Percent","Housing Permits",0.1
"Avon","0900302060","1990","Number","Housing Permits",30
"Avon","0900302060","1990","Percent","Housing Permits",0.4
"Avon","0900302060","1991","Number","Housing Permits",39
"Avon","0900302060","1991","Percent","Housing Permits",0.5
"Avon","0900302060","1992","Number","Housing Permits",50
"Avon","0900302060","1992","Percent","Housing Permits",0.6
"Avon","0900302060","1993","Number","Housing Permits",48
"Avon","0900302060","1993","Percent","Housing Permits",0.5
"Avon","0900302060","1994","Number","Housing Permits",60
"Avon","0900302060","1994","Percent","Housing Permits",0.6
"Avon","0900302060","1995","Number","Housing Permits",66
"Avon","0900302060","1995","Percent","Housing Permits",0.8
"Avon","0900302060","1996","Number","Housing Permits",83
"Avon","0900302060","1996","Percent","Housing Permits",1.1
"Avon","0900302060","1997","Number","Housing Permits",144
"Avon","0900302060","1997","Percent","Housing Permits",1.5
"Avon","0900302060","1998","Number","Housing Permits",188
"Avon","0900302060","1998","Percent","Housing Permits",1.6
"Avon","0900302060","1999","Number","Housing Permits",172
"Avon","0900302060","1999","Percent","Housing Permits",1.6
"Avon","0900302060","2000","Number","Housing Permits",97
"Avon","0900302060","2000","Percent","Housing Permits",1
"Avon","0900302060","2001","Number","Housing Permits",89
"Avon","0900302060","2001","Percent","Housing Permits",1
"Avon","0900302060","2002","Number","Housing Permits",158
"Avon","0900302060","2002","Percent","Housing Permits",1.6
"Avon","0900302060","2003","Number","Housing Permits",151
"Avon","0900302060","2003","Percent","Housing Permits",1.4
"Avon","0900302060","2004","Number","Housing Permits",95
"Avon","0900302060","2004","Percent","Housing Permits",0.8
"Avon","0900302060","2005","Number","Housing Permits",85
"Avon","0900302060","2005","Percent","Housing Permits",0.7
"Avon","0900302060","2006","Number","Housing Permits",58
"Avon","0900302060","2006","Percent","Housing Permits",0.6
"Avon","0900302060","2007","Number","Housing Permits",24
"Avon","0900302060","2007","Percent","Housing Permits",0.3
"Avon","0900302060","2008","Number","Housing Permits",18
"Avon","0900302060","2008","Percent","Housing Permits",0.3
"Avon","0900302060","2009","Number","Housing Permits",116
"Avon","0900302060","2009","Percent","Housing Permits",3.1
"Avon","0900302060","2010","Number","Housing Permits",20
"Avon","0900302060","2010","Percent","Housing Permits",0.5
"Avon","0900302060","2011","Number","Housing Permits",27
"Avon","0900302060","2011","Percent","Housing Permits",0.9
"Avon","0900302060","2012","Number","Housing Permits",35
"Avon","0900302060","2012","Percent","Housing Permits",0.7
"Avon","0900302060","2013","Number","Housing Permits",39
"Avon","0900302060","2013","Percent","Housing Permits",0.7
"Avon","0900302060","2014","Number","Housing Permits",22
"Avon","0900302060","2014","Percent","Housing Permits",0.4
"Avon","0900302060","2015","Number","Housing Permits",31
"Avon","0900302060","2015","Percent","Housing Permits",0.5
"Avon","0900302060","2016","Number","Housing Permits",19
"Avon","0900302060","2016","Percent","Housing Permits",0.3
"Barkhamsted","0900502760","1990","Number","Housing Permits",15
"Barkhamsted","0900502760","1990","Percent","Housing Permits",0.2
"Barkhamsted","0900502760","1991","Number","Housing Permits",12
"Barkhamsted","0900502760","1991","Percent","Housing Permits",0.2
"Barkhamsted","0900502760","1992","Number","Housing Permits",14
"Barkhamsted","0900502760","1992","Percent","Housing Permits",0.2
